0,31,0,2,
0,31,1,2,
0,31,2,2,
0,31,3,2,
0,31,4,2,
0,31,5,2,
0,31,6,2,
0,31,7,2,
0,31,8,2,
0,31,9,2,
0,31,10,2,
0,31,11,2,
0,31,12,2,
0,31,13,2,
0,31,14,2,
0,31,15,2,
1,31,0,2,
1,31,1,2,
1,31,2,2,
1,31,3,2,
1,31,4,2,
1,31,5,2,
1,31,6,2,
1,31,7,2,
1,31,8,2,
1,31,9,2,
1,31,10,2,
1,31,11,2,
1,31,12,2,
1,31,13,2,
1,31,14,2,
1,31,15,2,
2,31,0,2,
2,31,1,2,
2,31,2,2,
2,31,3,2,
2,31,4,2,
2,31,5,2,
2,31,6,2,
2,31,7,2,
2,31,8,2,
2,31,9,2,
2,31,10,2,
2,31,11,2,
2,31,12,2,
2,31,13,2,
2,31,14,2,
2,31,15,2,
3,31,0,2,
3,31,1,2,
3,31,2,2,
3,31,3,2,
3,31,4,2,
3,31,5,2,
3,31,6,2,
3,31,7,2,
3,31,8,2,
3,31,9,2,
3,31,10,2,
3,31,11,2,
3,31,12,2,
3,31,13,2,
3,31,14,2,
3,31,15,2,
4,31,0,2,
4,31,1,2,
4,31,2,2,
4,31,3,2,
4,31,4,2,
4,31,5,2,
4,31,6,2,
4,31,7,2,
4,31,8,2,
4,31,9,2,
4,31,10,2,
4,31,11,2,
4,31,12,2,
4,31,13,2,
4,31,14,2,
4,31,15,2,
5,31,0,2,
5,31,1,2,
5,31,2,2,
5,31,3,2,
5,31,4,2,
5,31,5,2,
5,31,6,2,
5,31,7,2,
5,31,8,2,
5,31,9,2,
5,31,10,2,
5,31,11,2,
5,31,12,2,
5,31,13,2,
5,31,14,2,
5,31,15,2,
6,31,0,2,
6,31,1,2,
6,31,2,2,
6,31,3,2,
6,31,4,2,
6,31,5,2,
6,31,6,2,
6,31,7,2,
6,31,8,2,
6,31,9,2,
6,31,10,2,
6,31,11,2,
6,31,12,2,
6,31,13,2,
6,31,14,2,
6,31,15,2,
7,31,0,2,
7,31,1,2,
7,31,2,2,
7,31,3,2,
7,31,4,2,
7,31,5,2,
7,31,6,2,
7,31,7,2,
7,31,8,2,
7,31,9,2,
7,31,10,2,
7,31,11,2,
7,31,12,2,
7,31,13,2,
7,31,14,2,
7,31,15,2,
8,31,0,2,
8,31,1,2,
8,31,2,2,
8,31,3,2,
8,31,4,2,
8,31,5,2,
8,31,6,2,
8,31,7,2,
8,31,8,2,
8,31,9,2,
8,31,10,2,
8,31,11,2,
8,31,12,2,
8,31,13,2,
8,31,14,2,
8,31,15,2,
9,31,0,2,
9,31,1,2,
9,31,2,2,
9,31,3,2,
9,31,4,2,
9,31,5,2,
9,31,6,2,
9,31,7,2,
9,31,8,2,
9,31,9,2,
9,31,10,2,
9,31,11,2,
9,31,12,2,
9,31,13,2,
9,31,14,2,
9,31,15,2,
10,31,0,2,
10,31,1,2,
10,31,2,2,
10,31,3,2,
10,31,4,2,
10,31,5,2,
10,31,6,2,
10,31,7,2,
10,31,8,2,
10,31,9,2,
10,31,10,2,
10,31,11,2,
10,31,12,2,
10,31,13,2,
10,31,14,2,
10,31,15,2,
11,31,0,2,
11,31,1,2,
11,31,2,2,
11,31,3,2,
11,31,4,2,
11,31,5,2,
11,31,6,2,
11,31,7,2,
11,31,8,2,
11,31,9,2,
11,31,10,2,
11,31,11,2,
11,31,12,2,
11,31,13,2,
11,31,14,2,
11,31,15,2,
12,31,0,2,
12,31,1,2,
12,31,2,2,
12,31,3,2,
12,31,4,2,
12,31,5,2,
12,31,6,2,
12,31,7,2,
12,31,8,2,
12,31,9,2,
12,31,10,2,
12,31,11,2,
12,31,12,2,
12,31,13,2,
12,31,14,2,
12,31,15,2,
13,31,0,2,
13,31,1,2,
13,31,2,2,
13,31,3,2,
13,31,4,2,
13,31,5,2,
13,31,6,2,
13,31,7,2,
13,31,8,2,
13,31,9,2,
13,31,10,2,
13,31,11,2,
13,31,12,2,
13,31,13,2,
13,31,14,2,
13,31,15,2,
14,31,0,2,
14,31,1,2,
14,31,2,2,
14,31,3,2,
14,31,4,2,
14,31,5,2,
14,31,6,2,
14,31,7,2,
14,31,8,2,
14,31,9,2,
14,31,10,2,
14,31,11,2,
14,31,12,2,
14,31,13,2,
14,31,14,2,
14,31,15,2,
15,31,0,2,
15,31,1,2,
15,31,2,2,
15,31,3,2,
15,31,4,2,
15,31,5,2,
15,31,6,2,
15,31,7,2,
15,31,8,2,
15,31,9,2,
15,31,10,2,
15,31,11,2,
15,31,12,2,
15,31,13,2,
15,31,14,2,
15,31,15,2,

0,32,14,1,
1,32,15,1,
2,32,15,1,
3,32,15,1,
4,32,15,1,
5,32,15,1,
6,32,15,1,
7,32,15,1,
8,32,15,1,
9,32,15,1,
10,32,15,1,
